LexToken(LPAREN,'(',136,1851)
LexToken(NEWDATATYPE,'TestClass',136,1852)
LexToken(VARIABLE,'obj',136,1862)
LexToken(RPAREN,')',136,1865)
LexToken(LBRACE,'{',136,1867)
LexToken(IF,'if',137,1877)
LexToken(LPAREN,'(',137,1880)
LexToken(VARIABLE,'obj',137,1881)
LexToken(EQUALS,'=',137,1885)
LexToken(EQUALS,'=',137,1886)
LexToken(THIS,'this',137,1888)
LexToken(RPAREN,')',137,1892)
LexToken(LBRACE,'{',137,1894)
LexToken(PRINT,'print',138,1908)
LexToken(LPAREN,'(',138,1913)
LexToken(CHAINCHAR,'"This object"',138,1914)
LexToken(RPAREN,')',138,1927)
LexToken(DOTCOMMA,';',138,1928)
LexToken(RBRACE,'}',139,1938)
LexToken(RBRACE,'}',140,1944)
LexToken(PRIVATE,'private',142,1951)
LexToken(VOID,'void',142,1959)
LexToken(VARIABLE,'superCheck',142,1964)
LexToken(LPAREN,'(',142,1974)
LexToken(STRING,'String',142,1975)
LexToken(VARIABLE,'str',142,1982)
LexToken(RPAREN,')',142,1985)
LexToken(LBRACE,'{',142,1987)
LexToken(IF,'if',143,1997)
LexToken(LPAREN,'(',143,2000)
LexToken(VARIABLE,'str',143,2001)
LexToken(NEQ,'!=',143,2005)
LexToken(NULL,'null',143,2008)
LexToken(RPAREN,')',143,2012)
LexToken(LBRACE,'{',143,2014)
LexToken(PRINT,'print',144,2028)
LexToken(LPAREN,'(',144,2033)
LexToken(CHAINCHAR,'"Super check passed"',144,2034)
LexToken(RPAREN,')',144,2054)
LexToken(DOTCOMMA,';',144,2055)
LexToken(RBRACE,'}',145,2065)
LexToken(RBRACE,'}',146,2071)
LexToken(PRIVATE,'private',148,2078)
LexToken(VOID,'void',148,2086)
LexToken(PRINT,'print',148,2091)
LexToken(LPAREN,'(',148,2096)
LexToken(STRING,'String',148,2097)
LexToken(VARIABLE,'message',148,2104)
LexToken(RPAREN,')',148,2111)
LexToken(LBRACE,'{',148,2113)
LexToken(NEWDATATYPE,'System',149,2123)
LexToken(DATAATTRIBUTE,'.out',149,2129)
LexToken(FUNCTION,'.println(message)',149,2133)
LexToken(DOTCOMMA,';',149,2150)
LexToken(RBRACE,'}',150,2156)
LexToken(RBRACE,'}',151,2158)
