LexToken(VARIABLE,'Object',125,1467)
LexToken(VARIABLE,'obj',125,1474)
LexToken(RPAREN,')',125,1477)
LexToken(LBRACE,'{',125,1479)
LexToken(IF,'if',126,1489)
LexToken(LPAREN,'(',126,1492)
LexToken(VARIABLE,'obj',126,1493)
LexToken(EQUALS,'=',126,1497)
LexToken(EQUALS,'=',126,1498)
LexToken(VARIABLE,'obj',126,1500)
LexToken(RPAREN,')',126,1503)
LexToken(LBRACE,'{',126,1505)
LexToken(PRINT,'print',127,1519)
LexToken(LPAREN,'(',127,1524)
LexToken(CHAINCHAR,'"Object is obj"',127,1525)
LexToken(RPAREN,')',127,1540)
LexToken(DOTCOMMA,';',127,1541)
LexToken(RBRACE,'}',128,1551)
LexToken(RBRACE,'}',129,1557)
LexToken(VOID,'void',131,1564)
LexToken(VARIABLE,'thisCheck',131,1569)
LexToken(LPAREN,'(',131,1578)
LexToken(MAIN,'main',131,1579)
LexToken(VARIABLE,'obj',131,1584)
LexToken(RPAREN,')',131,1587)
LexToken(LBRACE,'{',131,1589)
LexToken(IF,'if',132,1599)
LexToken(LPAREN,'(',132,1602)
LexToken(VARIABLE,'obj',132,1603)
LexToken(EQUALS,'=',132,1607)
LexToken(EQUALS,'=',132,1608)
LexToken(VARIABLE,'obj',132,1610)
LexToken(RPAREN,')',132,1613)
LexToken(LBRACE,'{',132,1615)
LexToken(PRINT,'print',133,1629)
LexToken(LPAREN,'(',133,1634)
LexToken(CHAINCHAR,'"This object"',133,1635)
LexToken(RPAREN,')',133,1648)
LexToken(DOTCOMMA,';',133,1649)
LexToken(RBRACE,'}',134,1659)
LexToken(RBRACE,'}',135,1665)
LexToken(VOID,'void',137,1672)
LexToken(PRINT,'print',137,1677)
LexToken(LPAREN,'(',137,1682)
LexToken(STRING,'String',137,1683)
LexToken(VARIABLE,'message',137,1690)
LexToken(RPAREN,')',137,1697)
LexToken(LBRACE,'{',137,1699)
LexToken(PRINT,'print',138,1709)
LexToken(LPAREN,'(',138,1714)
LexToken(VARIABLE,'message',138,1715)
LexToken(RPAREN,')',138,1722)
LexToken(DOTCOMMA,';',138,1723)
LexToken(RBRACE,'}',139,1729)
LexToken(RBRACE,'}',140,1731)
